species_number|common_name|latin_name|kingdom|phylum_division|subphylum_div|superclass|class|tax_order|family|genus|species|subspecies|variety|ecotox_group
20|Channel Catfish|Ictalurus punctatus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Siluriformes|Ictaluridae|Ictalurus|punctatus|||Fish,Standard Test Species
21|Common Carp|Cyprinus carpio|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio|||Fish,Standard Test Species,U.S. Exotic/Nuisance Species
22|Chinook Salmon|Oncorhynchus tshawytscha|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|tshawytscha|||Fish,Standard Test Species,U.S. Threatened and Endangered Species
23|Silver Salmon|Oncorhynchus kisutch|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|kisutch|||Fish,Standard Test Species,U.S. Threatened and Endangered Species
24|Ostracod, Seed Shrimp|Cypridopsis vidua|Animalia|Arthropoda|Crustacea||Ostracoda|Podocopa|Cypridopsidae|Cypridopsis|vidua|||Crustaceans
25|Goldfish|Carassius auratus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Carassius|auratus|||Fish,Standard Test Species,U.S. Exotic/Nuisance Species
26|Dinoflagellate|Gymnodinium nelsonii|Chromista|Pyrrophycophyta|||Dinophyceae|Gymnodiniales|Gymnodiniaceae|Gymnodinium|nelsonii|||Algae
27|Scud|Gammarus pseudolimnaeus|Animalia|Arthropoda|Crustacea||Malacostraca|Amphipoda|Gammaridae|Gammarus|pseudolimnaeus|||Crustaceans,Standard Test Species
28|Guppy|Poecilia reticulata|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Poeciliidae|Poecilia|reticulata|||Fish,Standard Test Species
29|Pouch Snail|Physa sp.|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physa|sp.|||Molluscs
30|Green Sunfish|Lepomis cyanellus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Centrarchidae|Lepomis|cyanellus|||Fish,Standard Test Species
31|Green Algae|Chlorella ovalis|Plantae|Chlorophyta|||Chlorophyceae|Chlorococcales|Oocystaceae|Chlorella|ovalis|||Algae
32|Cod|Gadus sp.|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Gadiformes|Gadidae|Gadus|sp.|||Fish
34|Cutthroat Trout|Oncorhynchus clarkii|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|clarkii|||Fish
36|Caddisfly|Brachycentrus americanus|Animalia|Arthropoda|Hexapoda||Insecta|Trichoptera|Brachycentridae|Brachycentrus|americanus|||Insects/Spiders
37|Aesop Shrimp|Pandalus montagui|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Pandalidae|Pandalus|montagui|||Crustaceans
38|Yellow Perch|Perca flavescens|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Percidae|Perca|flavescens|||Fish
39|Grass Shrimp,Freshwater Prawn|Palaemonetes kadiakensis|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Palaemonidae|Palaemonetes|kadiakensis|||Crustaceans
40|Polychaete|Glycera dibranchiata|Animalia|Annelida|Polychaeta||Errantia|Aciculata|Glyceridae|Glycera|dibranchiata|||Worms
41|Acorn Or Rock Barnacle|Balanus crenatus|Animalia|Arthropoda|Crustacea||Maxillopoda|Sessilia|Balanidae|Balanus|crenatus|||Crustaceans
42|Roach|Rutilus rutilus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Rutilus|rutilus|||Fish
43|Tench|Tinca tinca|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Tinca|tinca|||Fish
44|Perch|Perca fluviatilis|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Percidae|Perca|fluviatilis|||Fish,Standard Test Species
45|Dace|Leuciscus leuciscus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Leuciscus|leuciscus|||Fish
46|Crayfish|Procambarus blandingii|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Cambaridae|Procambarus|blandingii|||Crustaceans
47|Green Algae|Scenedesmus sp.|Plantae|Chlorophyta|||Chlorophyceae|Chlorococcales|Scenedesmaceae|Scenedesmus|sp.|||Algae
48|Water Flea|Daphnia hyalina|Animalia|Arthropoda|Crustacea||Branchiopoda|Diplostraca|Daphniidae|Daphnia|hyalina|||Crustaceans
49|Brown Trout|Salmo trutta|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Salmo|trutta|||Fish,Standard Test Species,U.S. Exotic/Nuisance Species
50|Aquatic Sowbug|Caecidotea brevicauda|Animalia|Arthropoda|Crustacea||Malacostraca|Isopoda|Asellidae|Caecidotea|brevicauda|||Crustaceans
51|Stonefly|Acroneuria lycorias|Animalia|Arthropoda|Hexapoda||Insecta|Plecoptera|Perlidae|Acroneuria|lycorias|||Insects/Spiders
52|Scud|Hyalella azteca|Animalia|Arthropoda|Crustacea||Malacostraca|Amphipoda|Hyalellidae|Hyalella|azteca|||Crustaceans,Standard Test Species
53|Crayfish|Orconectes nais|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Cambaridae|Orconectes|nais|||Crustaceans
54|Water Flea|Simocephalus serrulatus|Animalia|Arthropoda|Crustacea||Branchiopoda|Diplostraca|Daphniidae|Simocephalus|serrulatus|||Crustaceans
55|Northern Quahog Or Hard Clam|Mercenaria mercenaria|Animalia|Mollusca|||Bivalvia|Veneroida|Veneridae|Mercenaria|mercenaria|||Molluscs,Standard Test Species
56|Starfish|Asterias rubens|Animalia|Echinodermata|Eleutherozoa||Asteroidea|Forcipulatida|Asteriidae|Asterias|rubens|||Invertebrates
57|Mummichog|Fundulus heteroclitus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Cyprinodontidae|Fundulus|heteroclitus|||Fish,Standard Test Species
58|Polychaete Worm|Nereis virens|Animalia|Annelida|Polychaeta||Errantia|Aciculata|Nereididae|Nereis|virens|||Standard Test Species,Worms
59|Striped Bass|Morone saxatilis|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Moronidae|Morone|saxatilis|||Fish
60|Crayfish|Procambarus hayi|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Cambaridae|Procambarus|hayi|||Crustaceans
61|Mayfly|Hexagenia rigida|Animalia|Arthropoda|Hexapoda||Insecta|Ephemeroptera|Ephemeridae|Hexagenia|rigida|||Insects/Spiders
62|Logperch|Percina caprodes|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Percidae|Percina|caprodes|||Fish
63|Riverine Grass Shrimp|Palaemonetes paludosus|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Palaemonidae|Palaemonetes|paludosus|||Crustaceans
64|Crucian Carp|Carassius carassius|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Carassius|carassius|||Fish
65|Orangespotted Sunfish|Lepomis humilis|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Centrarchidae|Lepomis|humilis|||Fish
66|Trout Family|Salmonidae|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|||||Fish
67|American Or Virginia Oyster|Crassostrea virginica|Animalia|Mollusca|||Bivalvia|Ostreoida|Ostreidae|Crassostrea|virginica|||Molluscs,Standard Test Species
68|Atlantic Salmon|Salmo salar|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Salmo|salar|||Fish,Standard Test Species,U.S. Threatened and Endangered Species
69|Brook Silverside|Labidesthes sicculus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Atheriniformes|Atherinidae|Labidesthes|sicculus|||Fish
70|Water Flea|Daphnia sp.|Animalia|Arthropoda|Crustacea||Branchiopoda|Diplostraca|Daphniidae|Daphnia|sp.|||Crustaceans
71|Striped Mullet|Mugil cephalus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Mugiliformes|Mugilidae|Mugil|cephalus|||Fish
72|Marsh Grass Shrimp|Palaemonetes vulgaris|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Palaemonidae|Palaemonetes|vulgaris|||Crustaceans,Standard Test Species
73|Sailfin Molly|Poecilia latipinna|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Poeciliidae|Poecilia|latipinna|||Fish
74|Brown Shrimp|Penaeus aztecus|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Penaeidae|Penaeus|aztecus|||Crustaceans,Standard Test Species
75|Northern Pink Shrimp|Penaeus duorarum|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Penaeidae|Penaeus|duorarum|||Crustaceans,Standard Test Species
76|Blue Crab|Callinectes sapidus|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Portunidae|Callinectes|sapidus|||Crustaceans,Standard Test Species
77|Northern White Shrimp|Penaeus setiferus|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Penaeidae|Penaeus|setiferus|||Crustaceans,Standard Test Species
78|Korean Or Oriental Shrimp|Palaemon macrodactylus|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Palaemonidae|Palaemon|macrodactylus|||Crustaceans
79|Stonefly|Pteronarcella badia|Animalia|Arthropoda|Hexapoda||Insecta|Plecoptera|Pteronarcyidae|Pteronarcella|badia|||Insects/Spiders
80|Bluehead Wrasse|Thalassoma bifasciatum|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Labridae|Thalassoma|bifasciatum|||Fish
81|Midge|Chironomus plumosus|Animalia|Arthropoda|Hexapoda||Insecta|Diptera|Chironomidae|Chironomus|plumosus|||Insects/Spiders
82|Lake Trout, Siscowet|Salvelinus namaycush|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Salvelinus|namaycush|||Fish,Standard Test Species
84|Sea Lamprey|Petromyzon marinus|Animalia|Chordata|Vertebrata|Agnatha|Cephalaspidomorphi|Petromyzontiformes|Petromyzontidae|Petromyzon|marinus|||Fish,U.S. Exotic/Nuisance Species
85|Midge|Chironomus tentans|Animalia|Arthropoda|Hexapoda||Insecta|Diptera|Chironomidae|Chironomus|tentans|||Insects/Spiders,Standard Test Species
86|Sheepshead Minnow|Cyprinodon variegatus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Cyprinodontidae|Cyprinodon|variegatus|||Fish,Standard Test Species
87|Mayfly|Stenonema candidum|Animalia|Arthropoda|Hexapoda||Insecta|Ephemeroptera|Heptageniidae|Stenonema|candidum|||Insects/Spiders
88|Striped Killifish|Fundulus majalis|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Cyprinodontidae|Fundulus|majalis|||Fish
89|Largemouth Bass|Micropterus salmoides|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Centrarchidae|Micropterus|salmoides|||Fish
90|Sockeye Salmon|Oncorhynchus nerka|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|nerka|||Fish,U.S. Threatened and Endangered Species
91|Mayfly|Callibaetis sp.|Animalia|Arthropoda|Hexapoda||Insecta|Ephemeroptera|Baetidae|Callibaetis|sp.|||Insects/Spiders
92|Caddisfly|Limnephilus sp.|Animalia|Arthropoda|Hexapoda||Insecta|Trichoptera|Limnephilidae|Limnephilus|sp.|||Insects/Spiders
93|Stonefly|Taeniopteryx nivalis|Animalia|Arthropoda|Hexapoda||Insecta|Plecoptera|Taeniopterygidae|Taeniopteryx|nivalis|||Insects/Spiders
94|Two-Spot Or Tic Tac Toe Barb|Barbus ticto|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Barbus|ticto|||Fish
95|Scissor Tail Rasbora|Rasbora trilineata|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Rasbora|trilineata|||Fish
96|Redear Sunfish|Lepomis microlophus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Centrarchidae|Lepomis|microlophus|||Fish
97|Threespine Stickleback|Gasterosteus aculeatus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Gasterosteiformes|Gasterosteidae|Gasterosteus|aculeatus|||Fish,Standard Test Species
98|Diatom|Navicula seminulum|Chromista|Bacillariophyta|||Bacillariophyceae|Pennales|Naviculaceae|Navicula|seminulum|||Algae
99|Golden Stonefly, Willow Fly|Hesperoperla pacifica|Animalia|Arthropoda|Hexapoda||Insecta|Plecoptera|Perlidae|Hesperoperla|pacifica|||Insects/Spiders
100|White Crappie|Pomoxis annularis|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Centrarchidae|Pomoxis|annularis|||Fish
101|Flagfish|Jordanella floridae|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Cyprinodontidae|Jordanella|floridae|||Fish,Standard Test Species
102|Red Swamp Crayfish|Procambarus clarkii|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Cambaridae|Procambarus|clarkii|||Crustaceans
103|Mud Crab|Rhithropanopeus harrisii|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Panopeidae|Rhithropanopeus|harrisii|||Crustaceans
104|Midge|Tanytarsus dissimilis|Animalia|Arthropoda|Hexapoda||Insecta|Diptera|Chironomidae|Tanytarsus|dissimilis|||Insects/Spiders
105|Eastern Mudminnow|Umbra pygmaea|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Esociformes|Umbridae|Umbra|pygmaea|||Fish
106|Smallmouth Bass|Micropterus dolomieu|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Centrarchidae|Micropterus|dolomieu|||Fish
107|Spottail Shiner|Notropis hudsonius|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Notropis|hudsonius|||Fish
108|Caddisfly|Hydropsyche californica|Animalia|Arthropoda|Hexapoda||Insecta|Trichoptera|Hydropsychidae|Hydropsyche|californica|||Insects/Spiders
109|Japanese Medaka|Oryzias latipes|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Beloniformes|Adrianichthyidae|Oryzias|latipes|||Fish,Standard Test Species
110|Spot|Leiostomus xanthurus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Sciaenidae|Leiostomus|xanthurus|||Fish,Standard Test Species
111|Pewter Physa, Snail|Physella heterostropha|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physella|heterostropha|||Molluscs
112|Golden Shiner|Notemigonus crysoleucas|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Notemigonus|crysoleucas|||Fish
113|Walking Catfish|Clarias batrachus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Siluriformes|Clariidae|Clarias|batrachus|||Fish
114|Rotifer|Philodina acuticornis|Animalia|Rotifera|||Bdelloidea|Bdelloida|Philodinidae|Philodina|acuticornis|||Invertebrates
115|Oligochaete|Nais sp.|Animalia|Annelida|||Oligochaeta|Haplotaxida|Naididae|Nais|sp.|||Worms
116|Spire Snail|Amnicola sp.|Animalia|Mollusca|||Gastropoda|Neotaenioglossa|Hydrobiidae|Amnicola|sp.|||Molluscs
117|Pouch Snail|Physa gyrina|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physa|gyrina|||Molluscs
118|Scud, Amphipod|Gammarus sp.|Animalia|Arthropoda|Crustacea||Malacostraca|Amphipoda|Gammaridae|Gammarus|sp.|||Crustaceans
119|Mayfly|Drunella grandis ssp. grandis|Animalia|Arthropoda|Hexapoda||Insecta|Ephemeroptera|Ephemerellidae|Drunella|grandis|ssp. grandis||Insects/Spiders
120|Scud Family|Talitridae|Animalia|Arthropoda|Crustacea||Malacostraca|Amphipoda|Talitridae|||||Crustaceans
121|Hydroid|Campanularia flexuosa|Animalia|Cnidaria|||Hydrozoa|Hydroida|Campanulariidae|Campanularia|flexuosa|||Invertebrates
122|Midge|Chironomus sp.|Animalia|Arthropoda|Hexapoda||Insecta|Diptera|Chironomidae|Chironomus|sp.|||Insects/Spiders,Standard Test Species
123|Northern Squawfish|Ptychocheilus oregonensis|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Ptychocheilus|oregonensis|||Fish
124|Banded Killifish|Fundulus diaphanus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Cyprinodontidae|Fundulus|diaphanus|||Fish
125|White Perch|Morone americana|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Moronidae|Morone|americana|||Fish
126|Pumpkinseed|Lepomis gibbosus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Centrarchidae|Lepomis|gibbosus|||Fish
127|American Eel|Anguilla rostrata|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Anguilliformes|Anguillidae|Anguilla|rostrata|||Fish
128|Tilapia|Tilapia sp.|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Cichlidae|Tilapia|sp.|||Fish
129|Plaice, Sand Dab|Pleuronectes platessa|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Pleuronectiformes|Pleuronectidae|Pleuronectes|platessa|||Fish
130|Starry, European Flounder|Platichthys flesus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Pleuronectiformes|Pleuronectidae|Platichthys|flesus|||Fish
131|Northern Pike|Esox lucius|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Esociformes|Esocidae|Esox|lucius|||Fish,Standard Test Species
132|Mud Dab|Limanda limanda|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Pleuronectiformes|Pleuronectidae|Limanda|limanda|||Fish
133|Black Bullhead|Ameiurus melas|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Siluriformes|Ictaluridae|Ameiurus|melas|||Fish
134|Mozambique Tilapia|Oreochromis mossambicus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Cichlidae|Oreochromis|mossambicus|||Fish
135|Desert Pupfish|Cyprinodon macularius|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Cyprinodontidae|Cyprinodon|macularius|||Fish,U.S. Threatened and Endangered Species
136|Florida Pompano|Trachinotus carolinus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Carangidae|Trachinotus|carolinus|||Fish
137|Tilapia|Tilapia leucosticta|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Cichlidae|Tilapia|leucosticta|||Fish
138|Tilapia|Tilapia rendalli|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Cichlidae|Tilapia|rendalli|||Fish
139|Dolly Varden|Salvelinus malma|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Salvelinus|malma|||Fish
140|Shiner Perch|Cymatogaster aggregata|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Embiotocidae|Cymatogaster|aggregata|||Fish,Standard Test Species
141|Dwarf Perch|Micrometrus minimus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Embiotocidae|Micrometrus|minimus|||Fish
142|Opossum Shrimp|Americamysis bahia|Animalia|Arthropoda|Crustacea||Malacostraca|Mysida|Mysidae|Americamysis|bahia|||Crustaceans,Standard Test Species
143|Emerald Shiner|Notropis atherinoides|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Notropis|atherinoides|||Fish
144|American Shad|Alosa sapidissima|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Clupeiformes|Clupeidae|Alosa|sapidissima|||Fish
145|Scud|Parhyale hawaiensis|Animalia|Arthropoda|Crustacea||Malacostraca|Amphipoda|Hyalidae|Parhyale|hawaiensis|||Crustaceans
146|Ide, Silver Or Golden Orfe|Leuciscus idus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Leuciscus|idus|||Fish
147|Green Algae|Spirogyra crassa|Plantae|Chlorophyta|||Chlorophyceae|Zygnematales|Zygnemataceae|Spirogyra|crassa|||Algae
148|Rotifer Phylum|Rotifera|Animalia|Rotifera||||||||||Invertebrates
149|Bay Shrimp|Crangon franciscorum|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Crangonidae|Crangon|franciscorum|||Crustaceans
150|Thick-Lipped Grey Mullet|Chelon labrosus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Mugiliformes|Mugilidae|Chelon|labrosus|||Fish
152|Cyclopoid Copepod|Acanthocyclops vernalis|Animalia|Arthropoda|Crustacea||Maxillopoda|Cyclopoida|Cyclopidae|Acanthocyclops|vernalis|||Crustaceans
153|Caddisfly|Leptocerus aterrimus|Animalia|Arthropoda|Hexapoda||Insecta|Trichoptera|Leptoceridae|Leptocerus|aterrimus|||Insects/Spiders
154|Caddisfly|Phryganea striata|Animalia|Arthropoda|Hexapoda||Insecta|Trichoptera|Phryganeidae|Phryganea|striata|||Insects/Spiders
155|Caddisfly|Limnephilus stigma|Animalia|Arthropoda|Hexapoda||Insecta|Trichoptera|Limnephilidae|Limnephilus|stigma|||Insects/Spiders
156|Mayfly|Baetis sp.|Animalia|Arthropoda|Hexapoda||Insecta|Ephemeroptera|Baetidae|Baetis|sp.|||Insects/Spiders,Standard Test Species
157|Mayfly|Cloeon dipterum|Animalia|Arthropoda|Hexapoda||Insecta|Ephemeroptera|Baetidae|Cloeon|dipterum|||Insects/Spiders
158|Mayfly|Siphlonurus linnaeanus|Animalia|Arthropoda|Hexapoda||Insecta|Ephemeroptera|Siphlonuridae|Siphlonurus|linnaeanus|||Insects/Spiders
159|Stonefly|Nemoura marginata|Animalia|Arthropoda|Hexapoda||Insecta|Plecoptera|Nemouridae|Nemoura|marginata|||Insects/Spiders
160|Water Beetle|Acilius sulcatus|Animalia|Arthropoda|Hexapoda||Insecta|Coleoptera|Dytiscidae|Acilius|sulcatus|||Insects/Spiders
161|Beetle|Illybius angustior|Animalia|Arthropoda|Hexapoda||Insecta|Coleoptera|Dytiscidae|Illybius|angustior|||Insects/Spiders
162|Beetle|Dytiscus marginalis|Animalia|Arthropoda|Hexapoda||Insecta|Coleoptera|Dytiscidae|Dytiscus|marginalis|||Insects/Spiders
163|White-Legged Damselfly|Platycnemis pennipes|Animalia|Arthropoda|Hexapoda||Insecta|Odonata|Platycnemididae|Platycnemis|pennipes|||Insects/Spiders
164|Damselfly|Coenagrion pulchellum|Animalia|Arthropoda|Hexapoda||Insecta|Odonata|Coenagrionidae|Coenagrion|pulchellum|||Insects/Spiders
165|Damselfly|Lestes dryas|Animalia|Arthropoda|Hexapoda||Insecta|Zygoptera|Lestidae|Lestes|dryas|||Insects/Spiders
166|Blue-Green Dragonfly|Aeshna cyanea|Animalia|Arthropoda|Hexapoda||Insecta|Odonata|Aeshnidae|Aeshna|cyanea|||Insects/Spiders
167|Dragonfly|Sympetrum flaveolum|Animalia|Arthropoda|Hexapoda||Insecta|Odonata|Libellulidae|Sympetrum|flaveolum|||Insects/Spiders
168|Blackfly|Eusimulium sp.|Animalia|Arthropoda|Hexapoda||Insecta|Diptera|Simuliidae|Eusimulium|sp.|||Insects/Spiders
169|Water Flea|Sida crystallina|Animalia|Arthropoda|Crustacea||Branchiopoda|Cladocera|Sididae|Sida|crystallina|||Crustaceans
